Feature,GHS01_Explosive,GHS02_Flammable,GHS03_Oxidising,GHS04_CompressedGas,GHS05_Corrosive,GHS06_AcuteToxicity,GHS07_Irritant,GHS08_HealthHazard,GHS09_Environmental,Mean_across_all_classes
Morgan_147,4.5715176e-05,0.006271103,0.031245518,0.0033090643,0.003439993,0.0026396934,0.0026302952,0.0032262509,0.0045066397,0.006368252
MACCS_80,0.017701423,0.006304753,0.017716035,0.0,0.0040601776,0.00093597604,0.0029243026,0.004005316,0.0019116871,0.006173297
Morgan_726,0.000989199,0.018696604,0.011930766,0.001760759,0.0039358204,0.0060074963,0.0030028422,0.0021010665,0.0070401523,0.0061627454
Morgan_140,0.0004546148,0.010729407,0.002495662,0.0,0.021416593,0.0002806336,0.0027665214,0.010289776,0.006777103,0.006134479
Morgan_656,0.004912811,0.02044155,0.0060221804,0.0,0.00065495283,0.0006679567,0.0024856208,0.0025433218,0.016823975,0.006061374
Morgan_39,0.0,0.026467677,0.0,0.00065288064,0.004997435,0.0012618895,0.011285594,0.003110092,0.00669178,0.006051928
MACCS_23,0.0030217431,0.0013694189,0.0,0.0,0.008453095,0.016755737,0.0141782705,0.0013418499,0.0080060195,0.0059029036
MACCS_81,0.001574067,0.008073729,0.010639919,0.0089755,0.0019492217,0.0037273935,0.0044092657,0.00652818,0.007051582,0.005880984
Morgan_283,0.0005591718,0.0028843668,0.0,0.026656562,0.004399961,0.0030949384,0.0066605615,0.0038286734,0.0046056323,0.0058544297
MACCS_94,0.0016401582,0.007689073,0.022556761,0.0,0.012444545,0.00065706176,0.0011081216,0.001389909,0.005068068,0.0058393
MACCS_108,0.010713749,0.0028289743,0.030192725,0.0,0.0013718811,0.0009053397,0.0010099092,0.0025387672,0.002362298,0.0057692938
Morgan_199,0.023225058,0.0061248904,0.019691665,0.0,9.891645e-05,4.4027725e-05,0.0,0.00012244645,0.0022469645,0.005728219
Morgan_452,0.010026923,0.0020228587,0.0063626133,0.0045503834,0.010839645,0.0010798802,0.00044117082,0.006027425,0.009504814,0.005650635
Morgan_271,0.0,0.0003051732,0.0053292345,0.04163699,0.000588394,0.00037607586,0.00012004738,0.0013076853,0.0009801182,0.0056270794
